,unprocessed_tweet,product,emotion,processed_tweet
13,Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,got ta love sxsw google calendar featuring top party show case check rt hamsandwich via ischafer gthttpbitlyaxzwxb
14,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,great sxsw ipad app madebymany httptinyurlcom4nqv92l
15,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram sxsw
16,Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,holler gram ipad itunes app store httptcokfn3f5q via marcisken sxsw
17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone
18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,added sxsw flight planely matching people planesairports also downloaded klm iphone app nicely done
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram httptcog4gzypv
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,need buy ipad2 im austin sxsw sure ill need q austin apple store
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,okay really yay new foursquare android app11 kthxbai sxsw
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,photo installed sxsw iphone app really nice httptumblrcomx6t1pi6av7
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,really enjoying change gowalla 30 android looking forward seeing else amp foursquare sleeve sxsw
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,rt laurieshook im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,rt haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram sxsw via michaelpiliero
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,someone started austin partnerhub group google group presxsw great idea
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,new 4sq3 look like going rock update iphone android push tonight httpbitlyetsbzk sxsw keepaustinweird
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,right gowalla 3 app android sweeeeet nice job team sxsw
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,smart madebymany hollergram ipad app sxsw httptcoa3xvwc6 may leave vuvuzela home
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,must app ipad going sxsw httpitunesapplecomusapphollergramid420666439mt8 hollergram
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,attn sxsw frineds mention register gdgtlive see cobra iradar android link
33,Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,anyone sxsw want sell old ipad
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,anyone sxsw bought new ipad want sell older ipad
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,sxsw oooh rt mention google launch major new social network called circle possibly today link
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,best rt mention ha first line ipad2 sxsw quotpopupquot apple store event planner eventprofs pcma engage365
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,spin play new concept music discovery ipad mention amp spincom link itunes sxsw mention
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,mention false alarm google circle coming nowand probably ever link google circle social sxsw
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,vatornews google apple force print medium evolve link sxsw
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,mention great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad2
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",,No emotion toward brand or product,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether getting friend link
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,,No emotion toward brand or product,hey sxsw long think take u make iphone case answer mention using zazzlesxsw well make one
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,mashable ipad 2 take sxsw video ipad sxsw gadget link
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,ipad rt mention new ubersocial iphone app store includes uberguide sxsw sponsored link
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,ipad2 smartcover open instant access waited get one link apple sxsw
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,handheld hobo drafthouse launch hobo shotgun iphone app sxsw link
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,hooray rt mention apple opening popup store austin sxsw mention link
48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,,No emotion toward brand or product,orly mention google set launch new social network circle today sxsw
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,wooooo mention apple store downtown austin open til midnight sxsw
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,khoi vinh mention say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,mention link lt help forward doc anonymous account techiesamp ppl help u jam libya sxsw
52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,link edchat musedchat sxsw sxswi classical newtwitter
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",,No emotion toward brand or product,mention mention locationbased fast fun future link via mention sxsw
54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,,No emotion toward brand or product,mention mention google connect digital amp physical world mobile link sxsw mention
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,mention mention talking link google effort allow user open system bettercloud sxsw
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",,No emotion toward brand or product,link rt mention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,link rt mention 1st stop sxsw chaos amp mention hunt austin java get spy game 4 chance 2 win ipad
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,No emotion toward brand or product,link rt mention sxsw check holler gram ipad app mention link
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},,No emotion toward brand or product,mention mention amp mention fun google pic sxsw link
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,No emotion toward brand or product,quotvia mention link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",,No emotion toward brand or product,futuremf mention link spec recipe web google search link sxsw
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,omfg rt mention heard apple popup store downtown austin pic already gowalla link sxsw ipad2
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,No emotion toward brand or product,smile rt mention think apple quotpopup storequot austin would lot interesting actually know popped sxsw
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,rt mention line apple store insane sxsw
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,,No emotion toward brand or product,agree rt mention wait fiona apple town somebody kidnap put recording studio record new album sxsw
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,,No emotion toward brand or product,sxsw mention mention wan na buy drink 7pm fado 4th link join u
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,attending mention ipad design headache sxsw link
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,boooo rt mention flipboard developing iphone version android say mention sxsw
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,check mention mention amp mention line ipad 2 austin power sxswi sxsw link
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,,No emotion toward brand or product,check rt mention giving added value location based service need battle checkin fatigue google pnid sxsw
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,,No emotion toward brand or product,chilcott mention sxsw stand talking blogger staff late win competition best tweet mentioning mention tshirt
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,rt mention come party w google tonight sxsw link band food art ice cream nifty interactive map
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},,No emotion toward brand or product,gowallas mention promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",,No emotion toward brand or product,haha rt mention sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,holla rt mention google party best ever get butt sxsw
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,love mention iphone case sxsw cant get phone fail
77,I worship @mention {link} #SXSW,,No emotion toward brand or product,worship mention link sxsw
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,No emotion toward brand or product,ipad2 rt mention droid amp mac rt mention agnerd confession using laptop ipad amp blackberry follow sxsw
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",,No emotion toward brand or product,launching mention sxsw rt mention mention denies social network called circle debut today despite report link
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,new post mention iphone app make easy connect social network people meet link sxsw
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,nice mention iphone app behaving today crash yesterday ridiculous sxsw
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,,No emotion toward brand or product,nice rt mention apple opening popup store ipad launch downtown austin sxsw link via mention
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,nice rt mention hey apple fan get peek space thats slated popup sxsw apple store tomorrow link
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,one thing mention great get great earth face google company love sxsw sxwsi
85,Stay tune @mention showcase #H4ckers {link} #SXSW,,No emotion toward brand or product,stay tune mention showcase h4ckers link sxsw
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},,No emotion toward brand or product,thank mention mention touchingstories preso sxsw here deck link
87,Thank you @mention for an awesome #sxsw party! {link},,No emotion toward brand or product,thank mention awesome sxsw party link
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",,No emotion toward brand or product,thanks rt mention trying contact friend family japan mention created person finder link sxsw
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,thanks mention mention new speech ipad apps showcased sxsw conf link sxswh sxsh
90,Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,,I can't tell,thanks mention publishing news mention new medical apps sxswi conf blog link sxsw sxswh
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,,No emotion toward brand or product,thanks mention publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,mention sxsw provide iphone charger ive changed mind going next year
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,No emotion toward brand or product,wonder mention amp mention apple flashmob tcrnchfcs45j sxsw ipad2
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,,No emotion toward brand or product,wonder mention putting tip mention api sxsw suxsw
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,xmas rt mention shiny new mention mention mention apps new garyvee book popup ipad 2 store sxsw christmas nerd
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,yai rt mention new ubersocial iphone app store includes uberguide sxsw sponsored cont link
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",,No emotion toward brand or product,yes rt mention hey mention ive got another gem gt free mention sxsw link sxsw
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,fast fun amp future mention google presenting sxsw search local mobile
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,,No emotion toward brand or product,gsdampm amp google industry party tonight mention see u link sxsw austin welivehere gsdm
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",,No emotion toward brand or product,new buzz quotmention google launch major new social network called circle possibly today link rt mention sxswquot
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,headline quotipad 2 musthave gadget sxswquot hmm could seen one coming link gadget
102,ÛÏ@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,,I can't tell,mention quotapple opened popup store austin nerd town sxsw get new ipads link wow
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,know quotdatavizquot translates quotsatanicquot iphone im sayin sxsw
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,mention quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",,No emotion toward brand or product,mention quotgoogle launched checkins month agoquot check in ok check out future sxsw bizzy via mention
106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,mention quotgoogle tweetquot new quotthink speakquot mark belinsky 911tweets panel sxsw
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",,No emotion toward brand or product,attending quotleft brain search google right brain search xquot bettersearch talking future search engine sxsw
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,No emotion toward brand or product,hp open quotmobile parkquot amp content incubator sxsw link apple construct quotpopupquot store link
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,kawasaki quotnot c lewis level reasoning apple continued existence evidence existence godquot bawling sxsw
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,,No emotion toward brand or product,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,kawasaki quotpagemaker saved applequot oh day sxsw jwtatl enchantment via mention
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,spark android teamandroid award sxsw read link
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",,No emotion toward brand or product,unboxing apple sxsw mention apple store sxsw link
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,sxsw apple ipad 2 great thought w japan apac region dealing w earthquake amp tsunami trauma sxswi
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",,No emotion toward brand or product,sxsw apple school marketing expert sxsw cnet blog link
116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,sxsw apple school marketing expert link
117,"At #SXSW, #Apple schools the marketing experts {link}",,No emotion toward brand or product,sxsw apple school marketing expert link
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,temporary apple store def tent powerhouse gym sxsw link
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,temporary apple store 6th congress sxsw along 10000 happy hipster
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,mention apple win sxsw link opening temporary store downtown austin support ipad2 launch good
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,ipad austin trending today fun sxsw nerdy nerd
122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",,No emotion toward brand or product,headed austin sxsw check map newbie link mention mention mention mention enjoy
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,,No emotion toward brand or product,funny austin trending sxsw matter minute point least according twitter iphone
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,christian ipad iphone devs want talk u sxsw maybe wk together cool app mention
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,,No emotion toward brand or product,sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,apple ipad2 taken sxsw austin storm link mention excited part mobile
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,haz ipad2 ifrom sxsw gr8 link
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,stack ipad2s waiting bought sxsw got mine hassle apple handled perfectly link
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",,No emotion toward brand or product,google mobile future elusive power link via mention eurorscg sxsw sxswi
130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",,No emotion toward brand or product,notatsxsw sxsw here link free download meet nearby pep
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,smallbiz need review play google placeswe got app thatlink seo sxsw
132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,,No emotion toward brand or product,smallbiz need review play google placeswe got app thatlink seo sxsw
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,No emotion toward brand or product,samsung sony follow apple hp lead mention link austin atx sxsw
134,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",,No emotion toward brand or product,samsung sony follow apple hp lead mention link austin atx sxsw via mention rg
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,take sxsw rt mention major south korean director get 130000 make movie entirely iphone link
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,beautiful sxsw mention apple store sxsw pic link
137,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,,No emotion toward brand or product,q1 sxsw sxswi prep amazing pre push locally focus location based google owns 10 region billboard pr20chat
138,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,,No emotion toward brand or product,sxsw account need follow apps download iphone
139,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,,No emotion toward brand or product,headed sxsw want sharegather contact info link turn iphone business card broadcaster
140,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,No emotion toward brand or product,headed sxsw want sharegather contact info link turn iphone link
141,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,No emotion toward brand or product,btw sxsw apple store sold 3g model vzw amp atampt
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,must sxsw app rt mention lovely review forbes sxsw ipad app holler gram link
143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,temporary sxsw apple store apple sneaky usual link
144,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,,No emotion toward brand or product,anyone sxsw popup apple store austin thats got ta hopping place today
145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive emotion,mention sxsw beta testing interactive book ipad app moonbot studio louisiana cool app
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,apple sxsw day one seeing ton ipad2
147,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,,No emotion toward brand or product,fastball sxsw giving away two new ipad2 wifi 32g black apple cover tweet mention fo info sxswi attsxsw tonight mention bolt house
148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,,No emotion toward brand or product,anyone sxsw chance check popup apple store wondering worth trek convention center
149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,Positive emotion,mention sxsw ipad store sold everything except 64gig wifi white mention manage get
150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,Positive emotion,mention sxsw ipad store sold everything except 64gig wifi white also known white jean configuration
